                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.35894,                0.21043,                 0.7715,                0.96245,                0.86766,                0.92484,                0.84391,                 0.2855,                0.17771,                0.78546,               0.002146,               0.002146,               0.002146
                    121,                0.35477,                0.20747,                0.77055,                0.96108,                0.86746,                0.92494,                0.84813,                0.28353,                0.17781,                0.78433,                0.00208,                0.00208,                0.00208
                    122,                0.35408,                0.20666,                0.77055,                0.96251,                0.86788,                0.92542,                0.84787,                0.28193,                0.17672,                0.78398,               0.002014,               0.002014,               0.002014
                    123,                0.35468,                0.20648,                0.77136,                0.96206,                0.86882,                0.92552,                0.84802,                0.28087,                0.17588,                0.78375,               0.001948,               0.001948,               0.001948
                    124,                0.35035,                0.20339,                0.77013,                0.96071,                0.86981,                 0.9261,                0.84917,                0.28103,                0.17565,                0.78381,               0.001882,               0.001882,               0.001882
                    125,                0.35025,                0.20349,                0.77058,                0.96013,                0.86961,                0.92655,                0.84865,                0.28004,                0.17559,                0.78404,               0.001816,               0.001816,               0.001816
                    126,                0.34906,                0.20316,                0.77008,                0.95967,                0.86959,                0.92606,                0.84899,                0.28071,                 0.1762,                0.78398,                0.00175,                0.00175,                0.00175
                    127,                0.34657,                0.20189,                0.77017,                  0.961,                0.86868,                0.92609,                0.84788,                0.28051,                0.17618,                0.78408,               0.001684,               0.001684,               0.001684
                    128,                0.34726,                0.20034,                0.76984,                0.96189,                0.86967,                0.92665,                0.84637,                0.28178,                0.17605,                0.78462,               0.001618,               0.001618,               0.001618
                    129,                0.34389,                 0.1991,                0.76957,                0.96184,                0.86934,                0.92695,                0.84342,                0.28192,                 0.1762,                 0.7849,               0.001552,               0.001552,               0.001552
                    130,                0.34649,                0.20101,                0.77035,                0.96293,                0.86874,                0.92687,                 0.8428,                 0.2828,                0.17611,                0.78496,               0.001486,               0.001486,               0.001486
                    131,                0.34135,                0.19761,                0.76859,                0.96396,                0.86928,                0.92683,                0.84103,                 0.2816,                0.17492,                0.78516,                0.00142,                0.00142,                0.00142
                    132,                0.34221,                 0.1966,                0.76822,                0.96279,                0.86939,                0.92684,                0.84185,                   0.28,                0.17339,                 0.7851,               0.001354,               0.001354,               0.001354
                    133,                0.34048,                0.19464,                 0.7683,                0.96257,                0.86942,                0.92742,                0.84394,                0.27988,                0.17299,                0.78479,               0.001288,               0.001288,               0.001288
                    134,                0.33721,                0.19387,                0.76829,                0.96249,                0.86944,                0.92684,                0.84852,                0.27918,                0.17387,                0.78384,               0.001222,               0.001222,               0.001222
                    135,                0.34202,                0.19569,                0.76829,                0.96354,                0.86992,                0.92682,                0.85018,                0.27888,                0.17338,                0.78345,               0.001156,               0.001156,               0.001156
                    136,                0.33223,                0.19032,                0.76887,                0.96329,                0.86973,                0.92639,                0.84953,                0.27807,                0.17252,                0.78337,                0.00109,                0.00109,                0.00109
                    137,                0.33791,                0.19252,                0.76787,                0.96306,                0.86874,                0.92629,                0.84902,                0.27686,                0.17212,                0.78344,               0.001024,               0.001024,               0.001024
                    138,                0.33222,                 0.1902,                0.76797,                0.96347,                0.86907,                0.92613,                0.84849,                0.27738,                0.17226,                0.78354,               0.000958,               0.000958,               0.000958
                    139,                0.33327,                0.18923,                 0.7676,                0.96339,                0.86927,                0.92629,                0.84835,                0.27806,                0.17232,                0.78364,               0.000892,               0.000892,               0.000892
